title,author,added_date,filename,opf_title,opf_creator,opf_language,opf_source,opf_publisher,opf_identifier
碧阳学园学生会默示录09 学生会的周年葵せきな,,2025-12-23,碧阳学园学生会默示录09 学生会的周年葵せきな.epub,,,zh,,,
アネハメ 姉の最強魔眼に魅入られて,懺悔,2025-08-20, アネハメ　姉の最強魔眼に魅入られて .epub,アネハメ 姉の最強魔眼に魅入られて,懺悔,zh-CN,,フランス書院,urn:uuid:ed0843a0-2b97-4909-b7e9-d5985924c4f5
プリンセスハートリンク ～剣姫たちの艶舞～ Side 葵渚「特別増量版」,神崎美宙,2025-08-05, プリンセスハートリンク　～剣姫たちの艶舞～　Side 葵渚特別増量版 .epub,プリンセスハートリンク ～剣姫たちの艶舞～ Side 葵渚「特別増量版」,神崎美宙,zh-CN,,株式会社パラダイム,9784801592421
10年に一度の大雪で修学旅行中に相部屋になった結果、自称経験豊富な処女ギャルをセフレにしてしまった。,高橋和洋,2025-10-04, 10年に一度の大雪で修学旅行中に相部屋になった結果自称経験豊富な処女ギャルをセフレにしてしまった .epub,10年に一度の大雪で修学旅行中に相部屋になった結果、自称経験豊富な処女ギャルをセフレにしてしまった。,高橋和洋,zh-CN,,フランス書院,book-downloader: 1797352_003
10年ぶりに再会したクソガキは清純美少女JKに成長していた 5,館西夕木,2025-05-19, 10年ぶりに再会したクソガキは清純美少女JKに成長していた 5 .epub,10年ぶりに再会したクソガキは清純美少女JKに成長していた 5,館西夕木,ja,,株式会社オーバーラップ,urn:uuid:f57e5563-b580-440d-9936-8eddd3eff62d
10年ぶりに再会したクソガキは清純美少女JKに成長していた 6 (オーバーラップ文庫),館西夕木,2025-05-19, 10年ぶりに再会したクソガキは清純美少女JKに成長していた 6 オーバーラップ文庫 .epub,10年ぶりに再会したクソガキは清純美少女JKに成長していた 6 (オーバーラップ文庫),館西夕木,ja,,株式会社オーバーラップ,B0F3X2MJHN
AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(1) (オシリス文庫),ブリル・バーナード,2025-07-19, AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス1 オシリス文庫 .epub,AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(1) (オシリス文庫),ブリル・バーナード,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,38dcd0d4-208c-4a27-b455-b8e70ae9862d
AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(2) (オシリス文庫),ブリル・バーナード,2025-07-19, AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス2 オシリス文庫 .epub,AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(2) (オシリス文庫),ブリル・バーナード,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,809d6fb3-3937-4f50-95af-a2bc089e0ff3
AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(3) (オシリス文庫),ブリル・バーナード,2025-07-19, AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス3 オシリス文庫 .epub,AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(3) (オシリス文庫),ブリル・バーナード,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,8e7a7b6c-e387-487f-b816-ffd49093f748
AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(4),ブリル・バーナード,2025-07-19, AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス4 .epub,AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(4),ブリル・バーナード,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,calibre:32
AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(5),ブリル・バーナード,2025-07-19, AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス5 .epub,AVアプリ 異空間転移で気になるあの娘といちゃらぶセックス！(5),ブリル・バーナード,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,calibre:33
Bunny's ママ代行サービス「特別増量版」,ＨＡＬ．Ａ,2025-05-27, Bunnys ママ代行サービス特別増量版 .epub,Bunny's ママ代行サービス「特別増量版」,ＨＡＬ．Ａ,ja,,株式会社パラダイム,9784801594098
Mama×Holic ～魅惑のママと甘々カンケイ～「特別増量版」,男爵平野,2025-05-27, Mama×Holic　～魅惑のママと甘々カンケイ～特別増量版 .epub,Mama×Holic ～魅惑のママと甘々カンケイ～「特別増量版」,男爵平野,ja,,株式会社パラダイム,9784801592414
VTuberなんだが配信切り忘れたら伝説になってた９,七斗 七,2025-11-10, VTuberなんだが配信切り忘れたら伝説になってた９ .epub,VTuberなんだが配信切り忘れたら伝説になってた９,七斗 七,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04075529A18404600000
「膣内射精されないと目覚められない眠り病」が蔓延した世界 彼女も妹も２００％受精させちゃう日常性活,生１００％,2025-07-30, 膣内射精されないと目覚められない眠り病が蔓延した世界　彼女も妹も２００受精させちゃう日常性活 .epub,「膣内射精されないと目覚められない眠り病」が蔓延した世界 彼女も妹も２００％受精させちゃう日常性活,生１００％,zh-CN,,フランス書院,urn:uuid:dfd5be54-70d8-aec9-4782-690606d15614
「膣内射精されないと目覚められない眠り病」が蔓延した世界 絶対托卵×不実受精フェスティバル！,生１００％,2025-07-30, 膣内射精されないと目覚められない眠り病が蔓延した世界　絶対托卵×不実受精フェスティバル .epub,「膣内射精されないと目覚められない眠り病」が蔓延した世界 絶対托卵×不実受精フェスティバル！,生１００％,zh-CN,,フランス書院,urn:uuid:b508b2d4-3ddd-cd46-5239-8e71b178a4b5
「膣内射精されないと目覚められない眠り病」が蔓延した世界 隣人妻とコスプレエッチで確定受精,生１００％,2025-07-30, 膣内射精されないと目覚められない眠り病が蔓延した世界　隣人妻とコスプレエッチで確定受精 .epub,「膣内射精されないと目覚められない眠り病」が蔓延した世界 隣人妻とコスプレエッチで確定受精,生１００％,zh-CN,,フランス書院,urn:uuid:0e303e9a-c54a-32d8-b1e9-298b76c8703b
『こちら、終末停滞委員会。４』BOOK☆WALKER限定書き下ろしショートストーリー,逢縁奇演,2025-06-12, こちら終末停滞委員会４BOOK☆WALKER限定書き下ろしショートストーリー .epub,『こちら、終末停滞委員会。４』BOOK☆WALKER限定書き下ろしショートストーリー,逢縁奇演,zh-CN,,KADOKAWA,syuumatuteitaiiinkai004
『幼馴染たちが人気アイドルになった3 ～甘々な彼女たちは俺に貢いでくれている～』BOOK☆WALKER限定書き下ろしショートストーリー,くろねこどらごん,2025-11-29, 幼馴染たちが人気アイドルになった3 ～甘々な彼女たちは俺に貢いでくれている～BOOK☆WALKER限定書き下ろしショートストーリー .epub,『幼馴染たちが人気アイドルになった3 ～甘々な彼女たちは俺に貢いでくれている～』BOOK☆WALKER限定書き下ろしショートストーリー,くろねこどらごん,zh-CN,,オーバーラップ,calibre:52
『物語の黒幕に転生して４ ～進化する魔剣とゲーム知識ですべてをねじ伏せる～』BOOK☆WALKER限定書き下ろしショートストーリー,結城涼,2025-07-19, 物語の黒幕に転生して４　～進化する魔剣とゲーム知識ですべてをねじ伏せる～BOOK☆WALKER限定書き下ろしショートストーリー .epub,『物語の黒幕に転生して４ ～進化する魔剣とゲーム知識ですべてをねじ伏せる～』BOOK☆WALKER限定書き下ろしショートストーリー,結城涼,zh-CN,,KADOKAWA,00034000A07605500000
『物語の黒幕に転生して６ ～進化する魔剣とゲーム知識ですべてをねじ伏せる～』BOOK☆WALKER限定書き下ろしショートストーリー,結城涼,2025-07-19, 物語の黒幕に転生して６　～進化する魔剣とゲーム知識ですべてをねじ伏せる～BOOK☆WALKER限定書き下ろしショートストーリー .epub,『物語の黒幕に転生して６ ～進化する魔剣とゲーム知識ですべてをねじ伏せる～』BOOK☆WALKER限定書き下ろしショートストーリー,結城涼,zh-CN,,KADOKAWA,monogatarinokuromaku006
『血の繋がらない私たちが家族になるたった一つの方法』BOOK☆WALKER限定書き下ろしショートストーリー,雲雀湯,2026-02-10, 血の繋がらない私たちが家族になるたった一つの方法BOOK☆WALKER限定書き下ろしショートストーリー .epub,『血の繋がらない私たちが家族になるたった一つの方法』BOOK☆WALKER限定書き下ろしショートストーリー,雲雀湯,zh-CN,,KADOKAWA,00034000A07605500000
